시설명,배너사진,시설설명,평일오픈시간,평일종료시간,주말오픈시간,주말종료시간,디테일사진,"시,도","시,군,구","읍,면,동",동층호,위도,경도,전화번호,분류,분류2,"항목,평일오전,평일오전,주말오전,주말오후*",평점
남대문실탄사격장,gun1,"*주문 접수 20:30까지
20여 년 전부터 국내에서 일본인 관광객의 사랑을 받고 있는 실탄 사격 체험은 서울 관광 코스 중 하나일 정도로 인기가 높다. 일본은 한국과 달리 군복무가 의무가 아니기 때문에 실탄 사격을 해볼 기회가 별로 없는 일본인 관광객에게 실탄 사격 체험은 인기 있는 관광 상품 중 하나다. 
외화를 벌어들이는 관광 상품만이 아니라 최근 젊은 커플들의 이색 데이트 코스로도 사랑받고 있는 실탄 사격. 뻔하고 지루한 데이트코스에 질린 커플들의 발길이 끊이지 않고 있다. 
주식회사 남대문 실탄 사격장은 국내 최고의 시설을 자랑하는 실탄 사격 체험장이며 경찰 교육생들의 교육이 이루어지기도 하는 전문 사격 체험 시설이다. 국내 고객은 물론 외국인 고객들에게도 안전사고 예방 지도는 물론 스릴 있고 즐거운 사격 체험을 제공하고 있다.
일반적인 사격장처럼 단순한 실탄 사격 체험만이 아니라 카페와 같은 고급스럽고 편안한 분위기를 통해 남,여 간의 데이트를 즐기기에도 안성맞춤. 주요 시설로는 5m, 10m, 15m 등 거리 조절이 가능한 사대와 안전사고 예방을 위한 최신식 안전장치가 설치되어 있다. 
현재 서울에는 남대문 실탄 사격장을 포함하여 3곳의 실탄 사격 체험장이 운영 중인데 그 중에서 가장 고급스럽고 안전한 환경을 갖추고 있는 곳으로 꼽히는 곳이 남대문 실탄 사격장이다. 
남대문 실탄 사격장은 2015년 11월 오픈하여 저렴한 비용으로 경찰 교육생 등에게 철저한 맨투맨 교육을 실시하고 있다.
남대문 실탄 사격장은 태릉국제종합사격장, 롯데월드 실탄사격장, 근무 경력자 및 사격선수 출신 등 오랜 경력자들로 구성되어 있다. 
과거 일부 사격장에서 안전사고가 발생한 일이 있기 때문에 실탄 사격장을 운영함에 있어 긴장을 늦추지 않고 안전사고 예방에 매 순간 집중하고 있다. 
즐거운 체험인 만큼 안전도 중요하기 때문. 총기와 실탄 관리를 최우선시 하고 있으며 고객이 충분한 만족감을 느낄 수 있도록 프로 정신을 가지고 고객 서비스에 임하고 있다.
",10:00,21:00,10:00,21:00,"gun1_2, gun1_3, gun1_4",서울특별시,중구,남대문로4가,3-3 4층,37.5605491,126.9775087,02-778-4008,실내 스포츠,실내 사격장,"32,380,9mm,38구경 중 택1(10발) #36
357,매그넘 중 택1 (10발)#45
32,380,9mm,38구경 중 택2 (20발)#72",0
타겟존잠실신천점,gun2,"고품격 실내 스크린사격장 타겟존입니다.
-최대 4명까지 동시 진행 가능
-음식 제공(유료)
9호선 종합운동장역에서 도보5분
2호선 잠실새내역에서 도보5분
스타벅스 신천역점에서 직진 150M",12:00,2:00,12:00,2:00,"gun2_2, gun2_3, gun2_4",서울특별시,송파구,잠실동,191-1 지하1층,37.5103433,127.0812593,02-417-4979,실내 스포츠,실내 사격장,"10라운드 1인#9
20라운드 1인#13
20라운드 1인(17시 이전 입장)#10",0
슈팅버니여의도점,gun3,"한번도 못 가본 사람은 있어도 한번만 가본 사람은 없는 이곳에서 흥이란 것이 폭발한다!
흥 많은 당신 취향저격 VR Game Zone 슈팅버니",11:30,0:00,11:30,0:00,"gun3_2, gun3_3, gun3_4",서울특별시,영등포구,여의도동,"43-4  지하1층 B111, 112호",37.5199093,126.9317832,02-780-8831,실내 스포츠,실내 사격장,"스크린사격#4
스포츠게임(농구,권투,팔씨름)#1",0
강북사격장,gun4,"전 국가대표 출신 코치진에게 1:1 개인레슨으로 전문적으로 배워 보실수 있습니다
공휴일 운영시간 - 11:00~22:00",13:00,22:00,11:00,22:00,"gun4_2, gun4_3, gun4_4",서울특별시 ,강북구 ,수유3동,02-04,37.6371932,127.0226583,02-907-1010,실내 스포츠,실내 사격장,공기소총/공기권총(기본) 13발#5,0
오렌지9,sgolf1,"강남 최대 골프존 비젼 16대 대형센터
** 24시간 오픈운영 **
* 홈페이지(www.orange9.kr) 가입회원 항시 9홀당 그린피 1,000원 할인!!

PREMIER SCREEN GOLF = ORANGE9 with Tourstage =
현대식 9층 규모의 원스톱 편의시설을 갖춘 국내유일 강남최대 스크린센터 오렌지9 입니다. 
오직 스크린골프를 위해 설계된 빌딩으로 12층 높이를 9개층으로 나누어 층별 평균 3.4m 높이로 고가 상당히 높으며 
길이 9.5m / 폭 5.5m이상의 대형룸으로 최적화된 시설을 자랑합니다.
- 강남최대 GOLFZON Vision 16대
- 왼손타석 4대
- 대여채: TOURSTAGE / PHYZ / V-iQ 고급라인 풀세팅
- 대여화: 최고가 살균건조기 사용 매일 소독
- 층별대여 단체 행사나 파티 가능 (프라이빗층 별도운영)
- 룸별 테라스 / 자연환기 가능 
- 8층 스카이라운지: 스시전문점 SUSHI ZARI - 발렛파킹",0:00,23:59,0:00,23:59,"sgolf1_2, sgolf1_3, sgolf1_4",서울특별시 ,강남구 ,역삼동 ,652-10,37.5075524,127.0369896,02-508-1251,육상 레포츠,골프,"[평일]08:00-10:00 18H#9
[평일]10:00-14:00 9H#13
[평일]10:00-14:00 18H#22
[평일]14:00-08:00 9H#18
[평일]14:00-08:00 18H#31
[주말]9H#13
[주말]18H#22",0
톡스크린골프,sgolf2,"- 업체 회원가입시 할인된 가격으로 즐기실 수 있습니다.
- 오전: 10시~15시. 점심식사 포함 

강남 최고의 스크린 골프!! 
강남 최고의 서비스로 당신을 VIP로 모십니다.
아침 10시부터 새벽 6시까지 영업중...
좋은사람들과 편한곳에서 즐기다 가실수 있는 최고의 시설",10:00,6:00,10:00,6:00,"sgolf2_2, sgolf2_3, sgolf2_4",서울특별시 ,강남구 ,역삼동,726-2,37.4983327,127.0388451,02-558-5051,육상 레포츠,골프,"오전 9홀 비회원#13
오전 18홀 비회원#18
오후 9홀 비회원#18
오후 18홀 비회원#25
주말, 공휴일 9홀 비회원#13
주말, 공휴일 18홀 비회원#18
오전 9홀 회원#11
오전 18홀 회원#16
오후 9홀 회원#16
오후 18홀 회원#22
주말, 공휴일 9홀 회원#11 
주말, 공휴일 18홀 회원#16",0
제이프리미엄골프,sgolf3,"저희 J프리미엄 골프는, 
필드느낌과 구질표현이 뛰어난 G스윙 스크린 골프 룸이 4개 있으며, 좌타석도 구비되어 있습니다.
1:1 개인레슨 및 주니어 골프레슨을 하고 있으며, 까페같은 인테리어로 고객들이 편히 쉴 수 있는 공간이 되도록 노력하겠습니다.",9:30,0:00,9:30,0:00,"sgolf3_2, sgolf3_3, sgolf3_4",서울특별시 ,성동구 ,옥수동 ,560 옥수어울림 더리버 상가 지하1층 301호,37.5422885,127.0181535,02-2281-9773,육상 레포츠,골프,"스크린 14:00 이전#13
스크린 14:00 이후#20",0
영등포골프존,sgolf4,"영등포역 근처에 위치한 스크린골프장 영등포골프존입니다.
9월 4일 리뉴얼하여 보다 개선된 모습으로 여러분을 맞이합니다.
룸을 배정받으신 후 신발, 장갑, 상의 무료로  대여 가능합니다! 물론 정기적으로 세탁하여 관리하고 있습니다.
저희 매장은 현재 비전 4대와 리얼 3대를 구비하고 있습니다.
비전은 리얼보다 신형으로 가격차이가 있으니 룸 배정시 미리 말씀해주세요~
각 룸마다 공기청정기는 당연히 작동하며, 냉난방 시스템도 있으니 상쾌하게 플레이하실 수 있습니다.
영등포역 먹자골목과 인접한 스크린골프를 찾으신다면 영등포골프존 어떠신가요?!
",10:00,0:00,10:00,0:00,"sgolf4_2, sgolf4_3, sgolf4_4",서울특별시 ,영등포구 ,영등포동3가,2-21 우성타워 B동 지하1층,37.5185135,126.9095859,02-2633-8207,육상 레포츠,골프,"평일,토요일 오전10시~3시 입장 9홀#16
평일,토요일 오전10시~3시 입장 18홀#16
평일,토요일 3시 이후 입장 9홀#16
평일,토요일 3시 이후 입장 18홀#22
일요일,공휴일 9홀#11
일요일,공휴일 18홀#18",0
종각스크린골프,sgolf5,"넓고 쾌적한 실내골프장
종각 스크린 골프입니다.
안녕하세요.
종각 스크린 골프를 방문해주셔서 감사합니다.
종각스크린골프는 서울 종로구에 위치한 스크린 골프입니다. 시간이 부족하거나 갑자기 골프를 하고 싶으신 분들을 위해 야외 못지 않은 쾌적함과 넓은 공간을 마련하였습니다.
최고의 시설에서 최고의 플레이를 할 수 있도록 최선을 다해 노력하겠습니다. 감사합니다. 

스크린골프 안전수칙
01. 타석 이외의 장소에서는 스윙연습을 금합니다.
02. 볼을 수거할 시에는 반드시 타석에서의 스윙을 확인한 뒤에 볼을 수거하고, 스윙을 금하여 주십시오.
03. 안전사고의 위험이 있으니 골프 지도를 삼가하여 주시기 바랍니다. 
04. 동반 하신 분의 안전은 이용자 책임이며 어린이를 동반하는 것은 삼가하여 주십시오.
05. 스윙연습이나 라운딩 중 타인에게 부상을 입혔을 경우는 당 업소에서는 책임을 지지 않습니다. 
06. 화재의 위험이 있으니 라운딩 중에는 흡연을 삼가하시기 바랍니다. 

퇴근시간 이후는 혼잡한 시간대 입니다 예약후 방문 부탁드립니다^^!
점심 시간은 한가하며 가격도 저렴하오니 점심 시간대 이용하셔서 경제적 이면서도 쾌적한 라운딩 즐기세요^^ㅎ",11:00,5:00,11:00,5:00,"sgolf5_2, sgolf5_3, sgolf5_4",서울특별시,종로구,관철동,155 종로1번가오피스텔,37.5687976,126.985073,02-725-0753,육상 레포츠,골프,"비전 오전(18시 이전) 9홀#13
비전 오전(18시 이전) 18홀#18
비전 오후 9홀#20
비전 오후 18홀#31
비전 토요일/공휴일 9홀#18
비전 토요일/공휴일 18홀#22
골프존리얼 오전(18시 이전) 9홀#13
골프존리얼 오전(18시 이전) 18홀#18
골프존리얼 오후 9홀#18
골프존리얼 오후 18홀#22",0
야외스크린 오케이온골프,1,"이젠 스크린골프도 야외에서~
오케이온골프는 야외에서 실제 날아가는 공의 구질을 눈으로 확인하며 즐기는 스크린골프게임입니다 이젠 스크린골프도 실내먼지와 담배연기등에서 벗어나 쾌적한 환경에서 즐기세요~~
원하시는 모든분들 5분간 원포인트 무료레슨

뽀글이라면 서비스 개시
한강시민공원에서 맛볼수 있는  뽀글이라면~~  무료서비스입니다
맛있는 토스트가 무료~~",0:00,23:59,0:00,23:59,"2, 3, 4",서울특별시,서초구,잠원동,6-1 더 리버사이드 호텔 골프연습장 5층,37.5185692,127.0181336,02-540-6319,육상 레포츠,골프,"주중 1부(06:00~10:50)#18
주중 2부(11:00~15:50)#22
주중 3부(16:00~05:50)#27
주말 2부(06:00~10:50)#22
주중 3부(11:00~05:50)#27",0
